Anio;NombreCurso;Tipo de capacitación;Nombre corto;Plataforma de dictado;Autorización para el dictado de la capacitación;La inscripción a la capacitación, se realizará a través de:;Ministerio;Área;codMinistero;codArea;codPlataformaDicado;codMedioInscipcion;codTipoCapacitacion
2024;Principios generales de cuidado para personas con alcoholismo ¿Cómo acompañar? ¿Cómo abordarlo?;Curso e-learning;C-AATC;Campus Córdoba;DARIO GIGENA PARKER SECRETARIO DE ADICCIONES;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Proceso de recuperación: ¿Cómo planificar la Prevención de Recaídas?;Curso e-learning;C-PR;Campus Córdoba;Darío Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Programación para principiantes: CSS;Curso e-learning;C-CSS;Campus Córdoba;;Portal Campus Córdoba;Ministerio de Economía y Gestión Pública;Subdirección de Capacitación y Formación;MEGP;SCF;CC;PCC;EL
2024;Programación para principiantes: HTML 5;Curso e-learning;C-HTML;Campus Córdoba;;Portal Campus Córdoba;Ministerio de Economía y Gestión Pública;Subdirección de Capacitación y Formación;MEGP;SCF;CC;PCC;EL
2024;Promotor/a de Equidad de Género en Entidades Deportivas;Curso e-learning;C-PEGED;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
2024;Puesta en marcha de mi emprendimiento: herramientas para el modelado de negocio;Curso e-learning;C-PME;Campus Córdoba;José Ignacio Scotto, presidente de la Agencia Córdoba Joven;Portal Campus Córdoba;Agencia Córdoba Jóven;Dirección de Capacitación;ACJ;DC;CC;PCC;EL
2024;Rehabilitación de adicciones ¿Cómo funcionan las Comunidades Terapéuticas?;Curso e-learning;C-COT;Campus Córdoba;Secretario de adicciones Dario Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Salud y seguridad en ámbitos laborales;Curso e-learning;C-SSAL;Campus Córdoba;Julio Castro;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección de Capacitación y Formación Profesional;MDSPE;DCFP;CC;FUP;EL
2024;Social Media para Emprendedores/as - Nivel I;Curso e-learning;C-SMEN1;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
2024;Técnicas de Coaching Ontológico aplicadas al Deporte;Curso e-learning;C-TCOAD;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
2024;Teletrabajo;Curso e-learning;C-TT;Campus Córdoba;Julio Castro;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección de Capacitación y Formación Profesional;MDSPE;DCFP;CC;FUP;EL
2024;Testing QA;Curso e-learning;EXTERNA;Campus Córdoba;Victor Di Rienzo;Portal Campus Córdoba;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;CC;PCC;EL
2024;Vacunas;Curso e-learning;C-VAC;Campus Córdoba;Gabriel Strumia (director);Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Validación y Prevención ¿Cómo me siento?;Curso e-learning;C-EVCHC;Campus Córdoba;Darío Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Vulneraciones de Derechos de NNyA;Curso e-learning;C-VDNNYA;Campus Córdoba;Pohl, Héctor Javier - Jefe de Área;Portal Campus Córdoba;Ministerio de Desarrollo Humano;Área de Capacitación, Secretaría de Niñez, Adolescencia y Familia;MDH;ACSNAF;CC;PCC;EL
2024;Workshop: Contenido en Redes Sociales y Fotoproducto;Curso e-learning;EXTERNA;Zoom;Daniel Chucaladakis;Portal Campus Córdoba;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;ZOOM;PCC;EL
2024;Workshop: Marca Personal - Habilidades Digitales para el mundo laboral.;Curso e-learning;EXTERNA;Campus Córdoba;Daniel Chucaladakis;Portal Campus Córdoba;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;CC;PCC;EL
2024;Workshop: Taller de Cuestionarios y Banco de Preguntas en Moodle;Curso e-learning;C-TCBPM;Campus Córdoba;;Portal Campus Córdoba;Ministerio de Economía y Gestión Pública;Subdirección de Capacitación y Formación;MEGP;SCF;CC;PCC;EL
