Anio;NombreCurso;Tipo de capacitación;Nombre corto;Plataforma de dictado;Autorización para el dictado de la capacitación;La inscripción a la capacitación, se realizará a través de:;Ministerio;Área;codMinistero;codArea;codPlataformaDicado;codMedioInscipcion;codTipoCapacitacion
2024;Gestión de Equipos de Trabajo en entornos virtuales;Curso e-learning;C-GETEV;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
2024;Habilidades para la prevención en educadores;Curso e-learning;C-HPE;Campus Córdoba;Secretario de adicciones Santos García Ferreira;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Herramientas informáticas aplicadas a instalaciones eléctricas;Curso e-learning;C-HIAIE;Campus Córdoba;Julio Castro;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección de Capacitación y Formación Profesional;MDSPE;DCFP;CC;FUP;EL
2024;Herramientas para la Comercialización Popular;Curso e-learning;C-HCP;Campus Córdoba;Rosalia Caceres. Secretaria de economia social;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Secretaría de Economía Social;MDSPE;SES;CC;FUP;EL
2024;Historias de recuperación: Importancia de los grupos de ayuda mutua en el tratamiento;Curso e-learning;C-AAGAM;Campus Córdoba;Secretario de adicciones Dario Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Hospital de día;Curso e-learning;C-HDD;Campus Córdoba;Gabriel Alberto Strumia;Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Infancia y Adolescencia: riesgos en el uso de redes;Curso e-learning;C-IARR;Campus Córdoba;Operativa;Portal Campus Córdoba;Ministerio de Desarrollo Humano;Área de Capacitación, Secretaría de Niñez, Adolescencia y Familia;MDH;ACSNAF;CC;PCC;EL
2024;Innovación y Creatividad;Curso e-learning;C-IC;Campus Córdoba;Victor Di Rienzo;Portal Campus Córdoba;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;CC;PCC;EL
2024;Introducción a Excel;Curso e-learning;C-IE;Campus Córdoba;Julio Castro;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección de Capacitación y Formación Profesional;MDSPE;DCFP;CC;FUP;EL
2024;Introducción a la Práctica de la Enseñanza en la Formación Profesional;Curso e-learning;C-IPEFP;Campus Córdoba;Julio Castro;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección de Capacitación y Formación Profesional;MDSPE;DCFP;CC;FUP;EL
